Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Precious Achiuwa,2021,2024,F,6-8,225.0,"September 19, 1999",Memphis,False,True,https://www.basketball-reference.com/players/a/achiupr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{achiupr01.html
Alex Acker,2006,2009,G,6-5,185.0,"January 21, 1983",Pepperdine,False,False,https://www.basketball-reference.com/players/a/ackeral01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ackeral01.html
Don Ackerman,1954,1954,G,6-0,183.0,"September 4, 1930",Long Island University,False,False,https://www.basketball-reference.com/players/a/ackerdo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ackerdo01.html
Mark Acres,1988,1993,F-C,6-11,220.0,"November 15, 1962",Oral Roberts,False,False,https://www.basketball-reference.com/players/a/acresma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{acresma01.html
Bud Acton,1968,1968,F,6-6,210.0,"January 11, 1942",Hillsdale College,False,False,https://www.basketball-reference.com/players/a/actonbu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{actonbu01.html
Quincy Acy,2013,2019,F-C,6-7,240.0,"October 6, 1990",Baylor,False,False,https://www.basketball-reference.com/players/a/acyqu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{acyqu01.html
Alvan Adams,1976,1988,C-F,6-9,210.0,"July 19, 1954",Oklahoma,False,False,https://www.basketball-reference.com/players/a/adamsal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsal01.html
Don Adams,1971,1977,F,6-6,210.0,"November 27, 1947",Northwestern,False,False,https://www.basketball-reference.com/players/a/adamsdo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsdo01.html
George Adams,1973,1975,F-G,6-5,210.0,"May 15, 1949",Gardner-Webb University,False,False,https://www.basketball-reference.com/players/a/adamsge01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsge01.html
Hassan Adams,2007,2009,G,6-4,220.0,"June 20, 1984",Arizona,False,False,https://www.basketball-reference.com/players/a/adamsha01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsha01.html
Jaylen Adams,2019,2021,G,6-0,225.0,"May 4, 1996",St. Bonaventure,False,False,https://www.basketball-reference.com/players/a/adamsja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsja01.html
Jordan Adams,2015,2016,G,6-5,209.0,"July 8, 1994",UCLA,False,False,https://www.basketball-reference.com/players/a/adamsjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsjo01.html
Michael Adams,1986,1996,G,5-10,162.0,"January 19, 1963",Boston College,False,False,https://www.basketball-reference.com/players/a/adamsmi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsmi01.html
Steven Adams,2014,2023,C,6-11,265.0,"July 20, 1993",Pitt,False,True,https://www.basketball-reference.com/players/a/adamsst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adamsst01.html
Rafael Addison,1987,1997,F-G,6-7,215.0,"July 22, 1964",Syracuse,False,False,https://www.basketball-reference.com/players/a/addisra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{addisra01.html
Bam Adebayo,2018,2024,C-F,6-9,255.0,"July 18, 1997",Kentucky,False,True,https://www.basketball-reference.com/players/a/adebaba01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adebaba01.html
Deng Adel,2019,2019,F,6-7,200.0,"February 1, 1997",Louisville,False,False,https://www.basketball-reference.com/players/a/adelde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adelde01.html
Rick Adelman,1969,1975,G,6-1,175.0,"June 16, 1946",Loyola Marymount,True,False,https://www.basketball-reference.com/players/a/adelmri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adelmri01.html
Jeff Adrien,2011,2015,F,6-7,245.0,"February 10, 1986",UConn,False,False,https://www.basketball-reference.com/players/a/adrieje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{adrieje01.html
Arron Afflalo,2008,2018,G-F,6-5,210.0,"October 15, 1985",UCLA,False,False,https://www.basketball-reference.com/players/a/afflaar01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{afflaar01.html
Ochai Agbaji,2023,2024,G,6-5,215.0,"April 20, 2000",Kansas,False,True,https://www.basketball-reference.com/players/a/agbajoc01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{agbajoc01.html
Maurice Ager,2007,2011,G,6-5,202.0,"February 9, 1984",Michigan State,False,False,https://www.basketball-reference.com/players/a/agerma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{agerma01.html
Mark Aguirre,1982,1994,F-G,6-6,232.0,"December 10, 1959",DePaul,False,False,https://www.basketball-reference.com/players/a/aguirma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aguirma01.html
Blake Ahearn,2008,2012,G,6-2,190.0,"May 27, 1984",Missouri State,False,False,https://www.basketball-reference.com/players/a/ahearbl01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ahearbl01.html
Danny Ainge,1982,1995,G,6-5,185.0,"March 17, 1959",BYU,False,False,https://www.basketball-reference.com/players/a/aingeda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aingeda01.html
Matt Aitch,1968,1968,F,6-7,230.0,"September 21, 1944","Moberly Area Community College, Michigan State",False,False,https://www.basketball-reference.com/players/a/aitchma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aitchma01.html
Alexis Ajinça,2009,2017,C-F,7-2,248.0,"May 6, 1988",,False,False,https://www.basketball-reference.com/players/a/ajincal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ajincal01.html
Henry Akin,1967,1969,C-F,6-10,225.0,"July 31, 1944",Morehead State University,False,False,https://www.basketball-reference.com/players/a/akinhe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{akinhe01.html
Josh Akognon,2013,2013,G,5-11,185.0,"February 10, 1986","Washington State, Cal State Fullerton",False,False,https://www.basketball-reference.com/players/a/akognjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{akognjo01.html
DeVaughn Akoon-Purcell,2019,2019,G,6-6,200.0,"June 5, 1993",Illinois State,False,False,https://www.basketball-reference.com/players/a/akoonde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{akoonde01.html
Solomon Alabi,2011,2012,C,7-1,251.0,"March 21, 1988",Florida State,False,False,https://www.basketball-reference.com/players/a/alabiso01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alabiso01.html
Mark Alarie,1987,1991,F,6-8,217.0,"December 11, 1963",Duke,False,False,https://www.basketball-reference.com/players/a/alarima01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alarima01.html
Gary Alcorn,1960,1961,C,6-9,225.0,"October 8, 1936",Fresno State,False,False,https://www.basketball-reference.com/players/a/alcorga01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alcorga01.html
Santi Aldama,2022,2024,F,6-11,224.0,"January 10, 2001",Loyola (MD),False,True,https://www.basketball-reference.com/players/a/aldamsa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aldamsa01.html
Furkan Aldemir,2015,2015,F-C,6-10,240.0,"August 9, 1991",,False,False,https://www.basketball-reference.com/players/a/aldemfu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aldemfu01.html
Cole Aldrich,2011,2018,C,6-11,250.0,"October 31, 1988",Kansas,False,False,https://www.basketball-reference.com/players/a/aldrico01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aldrico01.html
LaMarcus Aldridge,2007,2022,F-C,6-11,250.0,"July 19, 1985",Texas,False,False,https://www.basketball-reference.com/players/a/aldrila01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aldrila01.html
Chuck Aleksinas,1985,1985,C,6-11,260.0,"February 26, 1959","Kentucky, UConn",False,False,https://www.basketball-reference.com/players/a/aleksch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aleksch01.html
Cliff Alexander,2016,2016,F,6-8,245.0,"November 16, 1995",Kansas,False,False,https://www.basketball-reference.com/players/a/alexacl01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexacl01.html
Cory Alexander,1996,2005,G,6-1,185.0,"June 22, 1973",Virginia,False,False,https://www.basketball-reference.com/players/a/alexaco01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexaco01.html
Courtney Alexander,2001,2003,G,6-5,205.0,"April 27, 1977","Virginia, Fresno State",False,False,https://www.basketball-reference.com/players/a/alexaco02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexaco02.html
Gary Alexander,1994,1994,F,6-7,240.0,"November 1, 1969",South Florida,False,False,https://www.basketball-reference.com/players/a/alexaga01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexaga01.html
Joe Alexander,2009,2010,F,6-8,230.0,"December 26, 1986",West Virginia,False,False,https://www.basketball-reference.com/players/a/alexajo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexajo01.html
Kyle Alexander,2020,2020,F,6-11,220.0,"October 21, 1996",Tennessee,False,False,https://www.basketball-reference.com/players/a/alexaky01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexaky01.html
Ty-Shon Alexander,2021,2021,G,6-3,195.0,"July 16, 1998",Creighton,False,True,https://www.basketball-reference.com/players/a/alexaty01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexaty01.html
Victor Alexander,1992,2002,C-F,6-9,265.0,"August 31, 1969",Iowa State,False,False,https://www.basketball-reference.com/players/a/alexavi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexavi01.html
Nickeil Alexander-Walker,2020,2024,G,6-5,205.0,"September 2, 1998",Virginia Tech,False,True,https://www.basketball-reference.com/players/a/alexani01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alexani01.html
Steve Alford,1988,1991,G,6-2,183.0,"November 23, 1964",Indiana,False,False,https://www.basketball-reference.com/players/a/alforst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alforst01.html
Rawle Alkins,2019,2019,G,6-5,225.0,"October 29, 1997",Arizona,False,True,https://www.basketball-reference.com/players/a/alkinra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alkinra01.html
Bill Allen,1968,1968,C-F,6-8,205.0,,New Mexico State,False,False,https://www.basketball-reference.com/players/a/allenbi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenbi01.html
Bob Allen,1969,1969,F,6-9,205.0,"July 17, 1946",Marshall,False,False,https://www.basketball-reference.com/players/a/allenbo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenbo01.html
Grayson Allen,2019,2024,G,6-4,198.0,"October 8, 1995",Duke,False,True,https://www.basketball-reference.com/players/a/allengr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allengr01.html
Jarrett Allen,2018,2024,C-F,6-11,243.0,"April 21, 1998",Texas,False,True,https://www.basketball-reference.com/players/a/allenja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenja01.html
Jerome Allen,1996,1997,G,6-4,184.0,"January 28, 1973",Penn,False,False,https://www.basketball-reference.com/players/a/allenje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenje01.html
Kadeem Allen,2018,2020,G,6-1,200.0,"January 15, 1993",Arizona,False,False,https://www.basketball-reference.com/players/a/allenka01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenka01.html
Lavoy Allen,2012,2017,F-C,6-9,260.0,"February 4, 1989",Temple,False,False,https://www.basketball-reference.com/players/a/allenla01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenla01.html
Lucius Allen,1970,1979,G,6-2,175.0,"September 26, 1947",UCLA,False,False,https://www.basketball-reference.com/players/a/allenlu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenlu01.html
Malik Allen,2002,2011,F-C,6-10,255.0,"June 27, 1978",Villanova,False,False,https://www.basketball-reference.com/players/a/allenma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenma01.html
Randy Allen,1989,1990,F,6-8,220.0,"January 26, 1965",Florida State,False,False,https://www.basketball-reference.com/players/a/allenra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenra01.html
Ray Allen,1997,2014,G,6-5,205.0,"July 20, 1975",UConn,True,False,https://www.basketball-reference.com/players/a/allenra02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenra02.html
Tony Allen,2005,2018,G-F,6-4,213.0,"January 11, 1982","Butler County Community College, Oklahoma State",False,False,https://www.basketball-reference.com/players/a/allento01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allento01.html
Willie Allen,1972,1972,F,6-6,230.0,"February 8, 1949",Miami (FL),False,False,https://www.basketball-reference.com/players/a/allenwi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allenwi01.html
Odis Allison,1972,1972,F,6-6,195.0,"October 2, 1949",UNLV,False,False,https://www.basketball-reference.com/players/a/allisod01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allisod01.html
Lance Allred,2008,2008,C,6-11,250.0,"February 2, 1981","Utah, Weber State",False,False,https://www.basketball-reference.com/players/a/allrela01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allrela01.html
Darrell Allums,1981,1981,F,6-9,220.0,"September 12, 1958",UCLA,False,False,https://www.basketball-reference.com/players/a/allumda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{allumda01.html
Morris Almond,2008,2012,G,6-6,225.0,"February 2, 1985",Rice University,False,False,https://www.basketball-reference.com/players/a/almonmo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{almonmo01.html
Derrick Alston,1995,1997,F,6-11,225.0,"August 20, 1972",Duquesne,False,False,https://www.basketball-reference.com/players/a/alstode01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alstode01.html
Rafer Alston,2000,2010,G,6-2,171.0,"July 24, 1976",Fresno State,False,False,https://www.basketball-reference.com/players/a/alstora01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alstora01.html
Peter Aluma,1999,1999,C,6-10,260.0,"April 23, 1973",Liberty,False,False,https://www.basketball-reference.com/players/a/alumape01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alumape01.html
Jose Alvarado,2022,2024,G,6-0,179.0,"April 12, 1998",Georgia Tech,False,True,https://www.basketball-reference.com/players/a/alvarjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{alvarjo01.html
John Amaechi,1996,2003,C-F,6-10,270.0,"November 26, 1970","Vanderbilt, Penn State",False,False,https://www.basketball-reference.com/players/a/amaecjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{amaecjo01.html
Ashraf Amaya,1996,1997,F,6-8,230.0,"November 23, 1971",Southern Illinois,False,False,https://www.basketball-reference.com/players/a/amayaas01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{amayaas01.html
Al-Farouq Aminu,2011,2021,F,6-8,220.0,"September 21, 1990",Wake Forest,False,False,https://www.basketball-reference.com/players/a/aminual01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aminual01.html
Lou Amundson,2007,2016,F-C,6-9,220.0,"December 7, 1982",UNLV,False,False,https://www.basketball-reference.com/players/a/amundlo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{amundlo01.html
Bob Anderegg,1960,1960,F-G,6-3,200.0,"August 24, 1937",Michigan State,False,False,https://www.basketball-reference.com/players/a/anderbo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderbo01.html
Chris Andersen,2002,2017,C-F,6-10,245.0,"July 7, 1978",Blinn College,False,False,https://www.basketball-reference.com/players/a/anderch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderch01.html
David Andersen,2010,2011,C,6-11,245.0,"June 23, 1980",,False,False,https://www.basketball-reference.com/players/a/anderda03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderda03.html
Alan Anderson,2006,2017,G-F,6-6,220.0,"October 16, 1982",Michigan State,False,False,https://www.basketball-reference.com/players/a/anderal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderal01.html
Andy Anderson,1968,1970,G,6-2,184.0,"July 6, 1945",Canisius,False,False,https://www.basketball-reference.com/players/a/anderan01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderan01.html
Antonio Anderson,2010,2010,G,6-6,215.0,"June 5, 1985",Memphis,False,False,https://www.basketball-reference.com/players/a/anderan02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderan02.html
Cliff Anderson,1968,1971,G-F,6-2,200.0,"September 7, 1944",Saint Joseph's,False,False,https://www.basketball-reference.com/players/a/andercl01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{andercl01.html
Dan Anderson,1968,1969,C,6-10,230.0,"February 15, 1943",Augsburg College,False,False,https://www.basketball-reference.com/players/a/anderda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderda01.html
Dan Anderson,1975,1976,G,6-2,185.0,"January 1, 1951",USC,False,False,https://www.basketball-reference.com/players/a/anderda02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderda02.html
Derek Anderson,1998,2008,G,6-5,194.0,"July 18, 1974","Ohio State, Kentucky",False,False,https://www.basketball-reference.com/players/a/anderde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderde01.html
Dwight Anderson,1983,1983,G,6-3,185.0,"December 28, 1960","Kentucky, USC",False,False,https://www.basketball-reference.com/players/a/anderdw01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderdw01.html
Eric Anderson,1993,1994,F,6-9,220.0,"May 26, 1970",Indiana,False,False,https://www.basketball-reference.com/players/a/anderer01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderer01.html
Greg Anderson,1988,1998,F-C,6-10,230.0,"June 22, 1964",Houston,False,False,https://www.basketball-reference.com/players/a/andergr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{andergr01.html
J.J. Anderson,1983,1985,F,6-8,195.0,"September 23, 1960",Bradley,False,False,https://www.basketball-reference.com/players/a/anderjj01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderjj01.html
James Anderson,2011,2016,G-F,6-6,213.0,"March 25, 1989",Oklahoma State,False,False,https://www.basketball-reference.com/players/a/anderja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderja01.html
Jerome Anderson,1976,1977,G,6-5,195.0,"October 9, 1953",West Virginia,False,False,https://www.basketball-reference.com/players/a/anderje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderje01.html
Justin Anderson,2016,2022,G,6-6,230.0,"November 19, 1993",Virginia,False,True,https://www.basketball-reference.com/players/a/anderju01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderju01.html
Kenny Anderson,1992,2005,G,6-1,168.0,"October 9, 1970",Georgia Tech,False,False,https://www.basketball-reference.com/players/a/anderke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderke01.html
Kim Anderson,1979,1979,F,6-7,200.0,"May 12, 1955",Missouri,False,False,https://www.basketball-reference.com/players/a/anderki01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderki01.html
Kyle Anderson,2015,2024,F-G,6-9,230.0,"September 20, 1993",UCLA,False,True,https://www.basketball-reference.com/players/a/anderky01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderky01.html
Michael Anderson,1989,1989,G,5-11,184.0,"March 23, 1966",Drexel,False,False,https://www.basketball-reference.com/players/a/andermi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{andermi01.html
Nick Anderson,1990,2002,F-G,6-6,205.0,"January 20, 1968",Illinois,False,False,https://www.basketball-reference.com/players/a/anderni01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderni01.html
Richard Anderson,1983,1990,F-C,6-10,240.0,"November 19, 1960",UC Santa Barbara,False,False,https://www.basketball-reference.com/players/a/anderri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderri01.html
